isNull,original,translated,back_translated
False,▁ပြင်သစ် နိုင်ငံ ▁ပါရီ မြို့ ▁ပါ ့ ဒ က်စ် ▁ပ ရင့် စက် ▁ ၌ ▁၂၀၀ ၇ ခု နှစ် ▁ ရပ် ဘီ ▁ကမ္ဘာ့ ▁ဖ လား ▁တွင် ▁အီတလီ ▁သည် ▁ပေါ်တူဂီ ▁ကို ▁၃ ၁ - ၅ ▁ဂ ိုး ▁ ဖြင့် ▁ရေကူး ကန် ▁ စီ ▁တွင် ▁ရှုံးနိမ့် သွား ပါသည် ▁။,ကမ္ဘာ့ ဖ လား တွင် အီတလီ သည် ပေါ်တူဂီ ကို ၃ ၁ - ၅ ဂ ိုး ဖြင့် ရေကူး ကန် စီ တွင် ရှုံးနိမ့် သွား ပါသည် ။,ကမ္ဘာ့ ဖ လား တွင် အီတလီ သည် ပေါ်တူဂီ ကို ၃ ၁ - ၅ ဂ ိုး ဖြင့် ရေကူး ကန် စီ တွင် ရှုံးနိမ့် သွား ပါသည် ။
False,▁အ န် ဒ ရီ ယာ ▁ မာ စီ ▁သည် ▁အီတလီ ▁အတွက် ▁ စမ်းသပ်မှု ▁တစ်ခု ▁ အဖြစ် ▁စတုတ္ထ ▁မိနစ် ▁တွင် ▁အ မှတ် ပေး ခြင်း ▁ကို ▁ ဖွင့်လှစ် ပေး ခဲ့သည် ▁။,အ န် ဒ ရီ ယာ မာ စီ : အီတလီ အတွက် စမ်းသပ်မှု တစ်ခု အဖြစ် စတုတ္ထ မိနစ် တွင် အ မှတ် ပေး ခြင်း ကို ဖွင့်လှစ် ပေး ခဲ့သည်,အ န် ဒ ရီ ယာ မာ စီ : အီတလီ အတွက် စမ်းသပ်မှု တစ်ခု အဖြစ် စတုတ္ထ မိနစ် တွင် အ မှတ် ပေး ခြင်း ကို ဖွင့်လှစ် ပေး ခဲ့သည်
False,▁ပထမ ▁ တစ်ဝက် ▁၏ ▁ တော်တော်များများ ▁အတွက် ▁ကစား ပွဲ ▁ကို ▁ထိန်းချုပ် ခြင်း ▁မရှိ ခဲ့ လျှင် ▁အီတလီ ▁သည် ▁ ပွဲ နား ချိန် ▁မ တိုင် မှ ီ ▁အခြား ▁မည်သည့် ▁ကြိုးစား မှု ▁ များ ▁ကို မှ ▁အ မှတ် ▁ မရ နိုင် ▁ ပေမယ့် ▁ဒ ေး ဗ စ် ▁ဘ ော် တို လပ် စီ ▁သည် ▁သူတို့ ၏ ▁ဦးဆောင် မှု ▁ကို ▁အ ဓ ွ န့် ရှည် ▁ စေရန် ▁ ပယ် နယ် လ် တီ ▁၃ ဂ ိုး ▁ သွင်း ပေး ခဲ့သည် ▁။,ပထမ တစ်ဝက် ၏ တော်တော်များများ အတွက် ကစား ပွဲ ကို ထိန်းချုပ် ခြင်း မရှိ ခဲ့ လျှင် အီတလီ သည် ပွဲ နား ချိန် မ တိုင် မှ ီ အခြား မည်သည့် ကြိုးစား မှု များ ကို မှ အ မှတ် မရ နိုင် ပေမယ့် ဒ ေး ဗ စ် ဘ ော် တို လပ် စီ သည် သူတို့ ၏ ဦးဆောင် မှု ကို အ ဓ ွ န့် ရှည် စေရန် ပယ် နယ် လ် တီ ၃ ဂ ိုး သွင်း ပေး ခဲ့သည် ။,ပထမ တစ်ဝက် ၏ တော်တော်များများ အတွက် ကစား ပွဲ ကို ထိန်းချုပ် ခြင်း မရှိ ခဲ့ လျှင် အီတလီ သည် ပွဲ နား ချိန် မ တိုင် မှ ီ အခြား မည်သည့် ကြိုးစား မှု များ ကို မှ အ မှတ် မရ နိုင် ပေမယ့် ဒ ေး ဗ စ် ဘ ော် တို လပ် စီ သည် သူတို့ ၏ ဦးဆောင် မှု ကို အ ဓ ွ န့် ရှည် စေရန် ပယ် နယ် လ် တီ ၃ ဂ ိုး သွင်း ပေး ခဲ့သည် ။
False,▁ပေါ်တူဂီ ▁သည် ▁ဘယ်သောအခါမှ ▁စွန့်လွှတ် မှု ▁မရှိ ခဲ့ ▁ ပဲ ▁ဒ ေး ဗ စ် ▁ ပန် နယ် ဗ ါ ▁သည် ▁၃ ၃ ▁မိနစ် ▁တွင် ▁သူတို့ ▁၏ ▁ကစား ပွဲ ▁ရဲ့ ▁အ မှတ် များ ▁ကို သာ ▁အ ထောက် အ ကူ ပြု သည့် ▁ကြိုးစား မှု ▁တစ်ခု ▁မှ ▁အ မှတ် ရ ခဲ့ပါသည်။,ပေါ်တူဂီ သည် ဘယ်သောအခါမှ စွန့်လွှတ် မှု မရှိ ခဲ့ ပဲ ဒ ေး ဗ စ် ပန် နယ် ဗ ါ,ပေါ်တူဂီ သည် ဘယ်သောအခါမှ စွန့်လွှတ် မှု မရှိ ခဲ့ ပဲ
False,▁အီတလီ ▁သည် ▁ပထမ ပိုင်း ▁ ၌ ▁၁ ၆ - ၅ ▁ ဖြင့် ▁ဦးဆောင် ခဲ့ ▁ သော်လည်း ▁ပေါ်တူဂီ ▁မှ ▁ဒုတိယ ပိုင်း ▁ တော်တော်များများ ▁တွင် ▁ဂ ိုး အရေအတွက် ညီ စေ ခဲ့သည် ▁။,အီတလီ သည် ပထမ ပိုင်း ၌ ၁ ၆ - ၅ ဖြင့် ဦးဆောင် ခဲ့ သော်လည်း ပေါ်တူဂီ မှ ဒုတိယ ပိုင်း တော်တော်များများ တွင် ဂ ိုး အရေအတွက် ညီ စေ ခဲ့သည် ။,အီတလီ သည် ပထမ ပိုင်း ၌ ၁ ၆ - ၅ ဖြင့် ဦးဆောင် ခဲ့ သော်လည်း ပေါ်တူဂီ မှ ဒုတိယ ပိုင်း တော်တော်များများ တွင် ဂ ိုး အရေအတွက် ညီ စေ ခဲ့သည် ။
False,▁သို့သော်လည်း ▁ဘ ော် တို လပ် စီ ▁သည် ▁မ ော် ရို ▁ဘာ ဂ မ် မ က် စ ကို ▁၏ ▁ကြိုးစား မှု ▁ များ ▁နှင့် ▁အ န် ဒ ရီ ယာ ▁ မာ စီ ▁၏ ▁ဒုတိယ ဂ ိုး ▁ နောက်ပိုင်း ▁အီတလီ ▁အတွက် ▁အ နိုင် ▁ရရှိ စေရန် ▁သူ၏ ▁စတုတ္ထ မြောက် ▁ကစား ပွဲ ▁၏ ▁ ပယ် နယ် လ် တီ ▁ကို ▁ သွင်း ယူ ပေး ခဲ့သည် ▁။,သို့သော်လည်း ဘ ော် တို လပ် စီ သည် မ ော် ရို ဘာ ဂ မ် မ က် စ ကို ၏ ကြိုးစား မှု များ နှင့် အ န် ဒ ရီ ယာ မာ စီ ၏ ဒုတိယ ဂ ိုး နောက်ပိုင်း အီတလီ အတွက် အ နိုင် ရရှိ စေရန် သူ၏ စတုတ္ထ မြောက် ကစား ပွဲ ၏ ပယ် နယ် လ် တီ ကို သွင်း ယူ ပေး ခဲ့သည် ။,သို့သော်လည်း ဘ ော် တို လပ် စီ သည် မ ော် ရို ဘာ ဂ မ် မ က် စ ကို ၏ ကြိုးစား မှု များ နှင့် အ န် ဒ ရီ ယာ မာ စီ ၏ ဒုတိယ ဂ ိုး နောက်ပိုင်း အီတလီ အတွက် အ နိုင် ရရှိ စေရန် သူ၏ စတုတ္ထ မြောက် ကစား ပွဲ ၏ ပယ် နယ် လ် တီ ကို သွင်း ယူ ပေး ခဲ့ ခဲ့သည် ။
False,▁လောလောဆယ် ▁ရေကူး ကန် ▁ စီ ▁ ၌ ▁ရှစ် မှတ် ▁နှင့် ▁တတိယ ▁ဖြစ် နေသော ▁အီတလီ ▁သည် ▁စက်တင်ဘာ ▁၂ ၉ ▁တွင် ▁ဒုတိယ ▁ရရှိ ထားသော ▁စကော့တလန် ▁နှင့် ▁ခက်ခဲ သော ▁ယှဉ်ပြိုင် မှု ▁တစ်ခု ▁ကို ▁ ရင်ဆိုင်နေရ သည် ▁။,အီတလီ နှင့် ခက်ခဲ သော ယှဉ်ပြိုင် မှု တစ်ခု ကို ရင်ဆိုင်နေရ သည် ။,အီတလီ နှင့် ခက်ခဲ သော ယှဉ်ပြိုင် မှု တစ်ခု ကို
False,▁ နယူး ဇီ လန် ▁သည် ▁ရ မှတ် ▁ ကွာခြား ချက် ▁ အပေါ် ▁စကော့တလန် ▁၏ ▁ရှေ့ မှ ▁ရ မှတ် ▁ဆယ် မှတ် ▁ နှင့်အတူ ▁ အုပ်စု ▁ကို ▁ဦးဆောင် နေ သည် ▁။,နယူး ဇီ လန် သည် ရ မှတ် ကွာခြား ချက် အပေါ် စကော့တလန် ၏ ရှေ့ မှ ရ မှတ် ဆယ် မှတ် နှင့်အတူ အုပ်စု ကို ဦးဆောင် နေ သည်,နယူး ဇီ လန် သည် ရ မှတ် ကွာခြား ချက် အပေါ် စကော့တလန် ၏ ရှေ့ မှ ရ မှတ် ဆယ် မှတ် နှင့်အတူ အုပ်စု ကို ဦးဆောင် နေ သည်
False,▁ပေါ်တူဂီ ▁သည် ▁တစ် မှတ် ▁ရ သော ▁ ရို မေး နီးယား ▁နောက် တွင် ▁အ မှတ် ▁ မရှိဘဲ ▁ အုပ်စု ▁၏ ▁အောက် ဆုံး တွင် ▁ရှိသည်။,ပေါ်တူဂီ သည် တစ် မှတ် ရ သော အုပ်စု ၏ အောက် ဆုံး တွင် ရှိသည်။,ပေါ်တူဂီ သည် တစ် မှတ် သော အုပ်စု ၏ အောက် ဆုံး တွင် ရှိသည်။
False,▁သူတို့ ▁ ယာဉ် မောင်း ▁ လိုင်စင် ▁၏ ▁ သီအိုရီ ▁စာမေးပွဲ ▁အပိုင်း ▁အတွက် ▁ လျှောက် ထား ခဲ့သော ▁ ဗြိတိသျှ ▁သင်ယူ သူ ▁ ယာဉ် မောင်း ▁၃ ▁သန်း ▁၏ ▁ကိုယ် ရေး ▁ အသေးစိတ် များ ▁အချို့ ▁အမေရိကန် ပြည်ထောင်စု ▁ရှိ ▁ အိုင် အို ဝါ ▁တွင် ▁ ပျောက် ဆုံး သွား ခဲ့သည် ▁။,သူတို့ ယာဉ် မောင်း လိုင်စင် ၏ သီအိုရီ စာမေးပွဲ အပိုင်း အတွက် လျှောက် ထား ခဲ့သော ဗြိတိသျှ သင်ယူ သူ ယာဉ် မောင်း ၃ သန်း ၏ ကိုယ် ရေး အသေးစိတ် များ အချို့ အမေရိကန် ပြည်ထောင်စု ရှိ အိုင် အို ဝါ တွင် ပျောက် ဆုံး သွား ခဲ့သည် ။,သူတို့ ယာဉ် မောင်း လိုင်စင် ၏ သီအိုရီ စာမေးပွဲ အပိုင်း အတွက် လျှောက် ထား ခဲ့သော ဗြိတိသျှ သင်ယူ သူ ယာဉ် မောင်း ၃ သန်း ၏ ကိုယ် ရေး အသေးစိတ် များ အချို့ အမေရိကန် ပြည်ထောင်စု ရှိ အိုင် အို ဝါ တွင် ပျောက် ဆုံး သွား ခဲ့သည် ။ ။
