isNull,original,translated,back_translated
False,▁ သဘော တရား အရ ▁ ခ ရင် မ် စ ိ မ် ခြင်း တွင် ▁အခြေခံ အတိုင်းအတာ ▁ နှစ်ခု ရှိ သည် ▁ - ▁ထုတ်ကုန် နှင့် ▁ပ ထ ဝီ ဝင် ။,သဘော တရား အရ ခ ရင် မ် စ ိ မ် ခြင်း နှင့် ပ ထ ဝီ ဝင် ။,သဘော တရား အရ ခ ရင် မ် စ ိ မ် ခြင်း နှင့် ပ ထ ဝီ ဝင် ။ ။
False,▁ ရာသီ အတွင်း ▁မင်းသိတယ် ၊ ▁မင်းရဲ့ အဆင့် ကို ▁ငါ ▁ခန့်မှန်း တယ် ▁အိုး ▁မိဘ အဖွဲ့ ကို ▁ပြန် ခေါ် ဖို့ ▁ဆုံးဖြတ် ရင် ▁ဘ ရာ ဗ တ် စ် က ▁ယောက်ျား တစ်ယောက် ကို ▁သုံး ဆ ▁A ▁ ကနေ ▁ပြန် ခေါ် ဖို့ ▁ဆုံးဖြတ် ရင် ▁နောက် တ ဆင့် ကို ▁ဆုံးရှုံး လိုက် မယ်။ ▁သူ့ကို ▁အစားထိုး ပြီး ▁ယောက်ျားလေး တစ်ယောက် က ▁သူ့ကို ▁အစားထိုး ဖို့ ▁ တက် သွားတယ်။,ရာသီ အတွင်း မင်းသိတယ် ၊ မင်းရဲ့ အဆင့် ကို ငါ ခန့်မှန်း တယ် အိုး မိဘ အဖွဲ့ ကို ပြန် ခေါ် ဖို့ ဆုံးဖြတ် ရင် ဘ ရာ ဗ တ် စ် က ယောက်ျား တစ်ယောက် ကို သုံး ဆ A ကနေ ပြန် ခေါ် ဖို့ ဆုံးဖြတ် ရင် နောက် တ ဆင့် ကို ဆုံးရှုံး လိုက် မယ်။ သူ့ကို အစားထိုး ပြီး ယောက်ျားလေး တစ်ယောက် က သူ့ကို အစားထိုး ဖို့ တက် သွားတယ်။,ရာသီ အတွင်း မင်းသိတယ် ၊ မင်းရဲ့ အဆင့် ကို ငါ ခန့်မှန်း တယ် အိုး မိဘ အဖွဲ့ ကို ပြန် ခေါ် ဖို့ ဆုံးဖြတ် ရင် နောက် တ ဆင့် ကို ဆုံးရှုံး လိုက် မယ်။
False,▁ကျွန်ုပ်တို့၏ နံပါတ် တစ်ခုသည် ▁သင့် ညွှန ် ကြား ချက်များကို ▁မိနစ် ပိုင်း အတွင်း ▁လုပ်ဆောင် ပေး ပါမည်။,ကျွန်ုပ်တို့၏ နံပါတ် တစ်ခုသည် သင့် ညွှန ် ကြား ချက်များကို မိနစ် ပိုင်း အတွင်း လုပ်ဆောင် ပေး ပါမည်။,ကျွန်ုပ်တို့၏ နံပါတ် တစ်ခုသည် သင့် ညွှန ် ကြား ချက်များကို မိနစ် ပိုင်း အတွင်း လုပ်ဆောင် ပေး ပါမည်။
False,▁သင် ဘယ်လို သိ သ လဲ ? ▁ဒါ တွေ အားလုံး ဟာ ▁သူတို့ရဲ့ ▁အချက်အလက် တွေ ပါ ဘဲ ။,သင် ဘယ်လို သိ သ လဲ ? ဒါ တွေ အားလုံး ဟာ သူတို့ရဲ့ အချက်အလက် တွေ ပါ ဘဲ ။,သင် ဘယ်လို သိ သ လဲ ? ဒါ တွေ အားလုံး ဟာ သူတို့ရဲ့ အချက်အလက် တွေ ပါ ဘဲ ။
False,▁ဟုတ်တယ် ▁ငါမင်းကို ပြောပြ မယ် ▁ဒီ တင်း နစ် ဖိနပ် တချို့ က ▁ ဈ ေး တက် ရင် ▁ဒေါ်လာ တစ် ရာ လောက် တက် နေပြီ ဆိုတာ ▁မင်း အ ခု ဘာလို့ သိ နိုင် မှာ လဲ,ဟုတ်တယ် ငါမင်းကို ပြောပြ မယ် ဒီ တင်း နစ် ဖိနပ် တချို့ က ဈ ေး တက် တက် ရင် ဒေါ်လာ တစ် ရာ လောက် တက် နေပြီ ဆိုတာ,ဒီ တင်း နစ် ဖိနပ် တချို့ က ဈ ေး တက်
False,▁ငါ့ လမ်းလျှောက် သူ ▁ ပြတ် သွား တော့ ▁ငါ စိတ် ဆိုး နေပြီ ▁ငါ စ တီ ရီ ယို ကို ▁အသံ ကျယ် အောင် ဖွင့် ဖို့ ပဲ လို တာ ။,ငါ့ လမ်းလျှောက် သူ ပြတ် သွား တော့ ငါ စိတ် ဆိုး နေပြီ ငါ စ တီ ရီ ယို ကို အသံ ကျယ် အောင် ဖွင့် ဖို့ ပဲ လို တာ ။,ငါ့ လမ်းလျှောက် သူ ပြတ် သွား တော့ ငါ စိတ် ဆိုး နေပြီ ငါ စ တီ ရီ ယို ကို အသံ ကျယ် အောင် ဖွင့် ဖို့ ပဲ လို တာ ။
False,▁သို့သော် ▁ကောင်းကင် ယံ တွင် ▁ကောင်းကင် တ မန် ဂါ ဘ ရီ ရယ် ▁( သူ ့ အ ဖော် ▁ မိုက် ကယ် ၊ ▁ဘယ် ဘက် တွင်၊ ▁သူ၏ အ တောင်ပံ မှ ▁အ မွေး အချို့ကို ▁ကယ်တင် ရန် ) ▁နှင့် ▁နို့ စို ့ ကလေး ယ ေ ရှု နှင့်အတူ ▁အ ပျ ို စင် မှ ▁ ခရစ်ယာန် ▁ မို ဆာ အ ချပ် အချို့ သည် ▁ပျောက်ကွယ်သွား ခဲ့သည်။,သို့သော် ကောင်းကင် ယံ တွင် ကောင်းကင် တ မန် ဂါ ဘ ရီ ရယ် ( သူ ့ အ ဖော် မိုက် ကယ် ၊ ဘယ် ဘက် တွင်၊ သူ၏ အ တောင်ပံ မှ အ မွေး အချို့ကို ကယ်တင် ရန် ) နှင့် နို့ စို ့ ကလေး ယ ေ ရှု နှင့်အတူ အ ပျ ို စင် မှ ခရစ်ယာန် မို ဆာ အ ချပ် အချို့ သည် ပျောက်ကွယ်သွား ခဲ့သည်။,သို့သော် ကောင်းကင် ယံ တွင် ကောင်းကင် တ မန် ဂါ ဘ ရီ ရယ် ( သူ ့ အ ဖော် မိုက် ကယ် ၊ ဘယ် ဘက် တွင်၊ သူ၏ အ တောင်ပံ မှ အ မွေး အချို့ကို ကယ်တင် ရန် ) နှင့် နို့ စို ့ ကလေး ယ ေ ရှု နှင့်အတူ အ ပျ ို စင် မှ ခရစ်ယာန် မို ဆာ အ ချပ် အချို့ သည် ပျောက်ကွယ်သွား ခဲ့သည်။
False,▁( J ack son ▁၏ တွေ့ရှိချက်များ ကို ▁Slate ▁တွင် ဖတ် ရှု ပါ။ ),( J ack son ၏ တွေ့ရှိချက်များ ကို Slate တွင် ဖတ် ရှု ပါ။ ),( J ack son ၏ တွေ့ရှိချက်များ ကို Slate တွင် ဖတ် ရှု ပါ။ ) )
False,▁လိင်တူချစ်သူ များနှင့် ▁လိင်တူချစ်သူ များ။,မြန်မာဘာသာ: လိင်တူချစ်သူ,မြန်မာဘာသာ: လိင်တူချစ်သူ
False,▁Ru e ▁des ▁F ran c s - B our ge o is ▁၏ အ ဆုံး တွင် ▁ကျောက်တုံး များနှင့် ▁အနီရောင် အုတ် မျက်နှာစာ များဖြင့် ▁မြို့၏ အ ချော ဆုံး လူ နေ ရပ်ကွက် ဖြစ်သည့် ▁Place ▁des ▁V os ge s ▁ဟု ▁လူအများ က ▁ယူဆ သည့်အရာ ဖြစ်သည်။,Ru e des F ran c s - B our ge o is ၏ အ ဆုံး တွင် ကျောက်တုံး များနှင့် အနီရောင် အုတ် မျက်နှာစာ များဖြင့် မြို့၏ အ ချော ဆုံး လူ နေ ရပ်ကွက် ဖြစ်သည့် Place des V os ge s ဟု လူအများ က ယူဆ သည့်အရာ ဖြစ်သည်။,Ru e des F ran c s - B our ge o is ၏ အ ဆုံး တွင် ကျောက်တုံး များနှင့် အနီရောင် အုတ် မျက်နှာစာ များဖြင့် မြို့၏ အ ချော ဆုံး လူ နေ ရပ်ကွက် ဖြစ်သည့် Place des V os ge s ဟု လူအများ က ယူဆ သည့်အရာ ဖြစ်သည်။
False,▁အခန်း တံခါး ကို ▁ ဖောက် ပြီး ▁မြေပြင် ပေါ် ▁ လဲ ကျ သွား တယ်၊,အခန်း တံခါး ကို ဖောက် ပြီး မြေပြင် ပေါ် လဲ ကျ သွား တယ်,အခန်း တံခါး ကို ဖောက် ပြီး မြေပြင် ပေါ် လဲ ကျ သွား တယ်
False,▁လူ ကြီး များနှင့် ကလေး များအတွက် ပျော် စရာ ။,လူ ကြီး များနှင့် ကလေး များအတွက် ပျော် စရာ ။,လူ ကြီး များနှင့် ကလေး များအတွက် ပျော် စရာ ။
False,▁သူတို့ မေး တဲ့ မေးခွန်း တွေက ▁စိတ်ဝင်စား ဖို့ ကောင်း တာ ▁ဒါမှမဟုတ် ▁တရားဝင် တာ မဟုတ်ဘူး ▁( ဒါ ပေမယ့် ▁ အများစု က ▁မေး ထားပြီး သား ဖြေ ထားတဲ့ ▁အမျိုးအစား အောက် မှာ ပါ ) ။,သူတို့ မေး တဲ့ မေးခွန်း တွေက စိတ်ဝင်စား ဖို့ ကောင်း တာ ဒါမှမဟုတ် တရားဝင် တာ မဟုတ်ဘူး ( ဒါ ပေမယ့် အများစု က မေး ထားပြီး သား ဖြေ ထားတဲ့ အမျိုးအစား အောက် မှာ ပါ ) ။,သူတို့ မေး တဲ့ မေးခွန်း တွေက စိတ်ဝင်စား ဖို့ ကောင်း တာ ဒါမှမဟုတ် တရားဝင် တာ မဟုတ်ဘူး ( ဒါ ပေမယ့် အများစု က မေး ထားပြီး သား ဖြေ ထားတဲ့ အမျိုးအစား အောက် မှာ ပါ ) ။ ။
False,▁The be s ▁သည် ▁၎င်း၏ ပထမဆုံး ဘုရင် ▁A men em he t ▁I w ho ▁1980 ▁မှ ▁19 5 1 ▁B C ▁တွင် ▁Me mp hi s ▁ အနီးတွင် ▁မြို့တော် ကို ▁တည်ထောင် ပြီး ▁12 ▁မင်း ဆက် အထိ ▁ အာဏာ ရ ခဲ့သည်။,The be s သည် ၎င်း၏ ပထမဆုံး ဘုရင် A men em he t I w ho 1980 မှ 19 5 1 B C တွင် Me mp hi s အနီးတွင် မြို့တော် ကို တည်ထောင် ပြီး 12 မင်း ဆက် အထိ အာဏာ ရ ခဲ့သည်။,The be s သည် ၎င်း၏ ပထမဆုံး ဘုရင် A men em he t I w ho 1980 မှ 19 5 1 B C တွင် အာဏာ ရ ခဲ့သည်။
False,▁မင်းရဲ့ စိုးရိမ် ပူ ပန် မှု တွေကို ▁ ပေါ့ ပေါ့ တန် တန် ပြော ချင် တာ မဟုတ်ဘူး ၊ ▁ဒါပေမယ့် ▁ငါက မင်း ဆိုရင် ၊ ▁ဒီ ▁$1 ▁ရဲ့ ▁အနီး နား နှုန်း ထား တွေရဲ့ ▁သက်ရောက်မှု တွေကို ▁ပို စိုးရိမ် မိ နိုင်တယ်။,မင်းရဲ့ စိုးရိမ် ပူ ပန် မှု တွေကို ပေါ့ ပေါ့ တန် တန် တန် ပြော ချင် တာ မဟုတ်ဘူး ၊ ဒါပေမယ့် ငါက မင်း ဆိုရင် ၊ ဒီ $1 ရဲ့ အနီး နား နှုန်း ထား တွေရဲ့ သက်ရောက်မှု တွေကို ပို စိုးရိမ် မိ နိုင်တယ်။,မင်းရဲ့ စိုးရိမ် ပူ ပန် မှု တွေကို ပေါ့ ပေါ့ ပေါ့ တန် တန် တန် တန် တန် ပြော ချင် တာ မဟုတ်ဘူး ၊ ဒါပေမယ့် ငါက မင်း ဆိုရင် ၊ ဒီ $1 ရဲ့ အနီး နား နှုန်း ထား တွေရဲ့ သက်ရောက်မှု တွေကို ပို စိုးရိမ် မိ နိုင်တယ်။
False,▁Da ta ▁S yn the s is ▁တွင် ▁ပြဿနာ များ။,Da ta S yn the s is တွင် ပြဿနာ များ။,Da ta S yn the s is တွင် ပြဿနာ များ။
False,▁အဲဒါကို ▁ ရုပ် မြင် သံ ကြား မှာ လည်း ▁တွေ့ တယ်။,အဲဒါကို ရုပ် မြင် သံ ကြား မှာ လည်း တွေ့ တယ်။,အဲဒါကို ရုပ် မြင် သံ ကြား မှာ လည်း တွေ့ တယ်။
False,▁Vre nna ▁နဲ့ ▁ကျွန်တော် ▁ နှစ်ယောက် လုံး က ▁သူ့ကို ▁ ရန် ဖြစ်ပြီး ▁သူက ▁ကျွန်တော်တို့ ကို ▁ ဖမ်း လု နီး နီး ပါပဲ။,Vre nna နဲ့ ကျွန်တော်တို့ ကို ဖမ်း လု နီး နီး နီး ပါပဲ။,Vre nna နဲ့ ကျွန်တော်တို့ ကို ဖမ်း လု နီး နီး နီး နီး နီး ပါပဲ။
False,▁ဤ ခွဲခြမ်းစိတ်ဖြာ မှုသည် ▁P M ▁နှင့် ▁ နာ တာ ရှည် ▁ လည် ချောင်း နာ ခြင်း သို့ ▁ချိတ်ဆက် ပေးသည့် ▁C R ▁လုပ်ဆောင်ချက် ကို ▁ဖော်ထုတ် ရန် ▁ဤ လေ့လာမှု နှစ်ခု မှ ▁ခန့်မှန်း ချက်များကို ▁ပေါင်းစပ် ထားသည်။,ဤ ခွဲခြမ်းစိတ်ဖြာ မှုသည် P M နှင့် နာ တာ ရှည် လည် ချောင်း နာ ခြင်း သို့ ချိတ်ဆက် ပေးသည့် C R လုပ်ဆောင်ချက် ကို ဖော်ထုတ် ရန် ဤ လေ့လာမှု နှစ်ခု မှ ခန့်မှန်း ချက်များကို ပေါင်းစပ် ထားသည်။,ဤ ခွဲခြမ်းစိတ်ဖြာ မှုသည် P M နှင့် နာ တာ ရှည် လည် ချောင်း နာ ခြင်း သို့ ချိတ်ဆက် ပေးသည့် C R လုပ်ဆောင်ချက် ကို ဖော်ထုတ် ရန် ဤ လေ့လာမှု နှစ်ခု မှ ခန့်မှန်း ချက်များကို ပေါင်းစပ် ထားသည်။
False,▁သူ လှည့် ပြီး ▁Vre nna ▁ကို ပြုံး ပြ သည်။,သူ လှည့် ပြီး Vre nna ကို ပြုံး,သူ လှည့် ပြီး Vre nna ကို ပြုံး
False,▁လွန်ခဲ့သည့် ▁5 ▁နှစ် အတွင်း ▁ အေဂျင်စီများ ▁အကောင်အထည်ဖော် လေ့ရှိ သည့် ▁ အလေ့အကျင့်များ ကို ▁ဖော်ထုတ် ရန် ▁ကျွန်ုပ်တို့ ▁ရှာဖွေ ခဲ့သည်။,လွန်ခဲ့သည့် 5 နှစ် အတွင်း အေဂျင်စီများ အကောင်အထည်ဖော် လေ့ရှိ သည့် အလေ့အကျင့်များ ကို ဖော်ထုတ် ရန် ကျွန်ုပ်တို့ ရှာဖွေ ခဲ့သည်။,လွန်ခဲ့သည့် 5 နှစ် အတွင်း အေဂျင်စီများ အကောင်အထည်ဖော်
False,▁တခြား ယောက်ျား တွေက ▁ရှ ပ် တယ်။,တခြား ယောက်ျား တွေက ရှ ပ် တယ်။,တခြား ယောက်ျား တွေက ရှ ပ် တယ်။
False,▁ပြည်နယ် များသည် ▁အမျိုးသား ဥယျာဉ် များနှင့် ▁ တော က န္တ ာ ရ ဒေသ များတွင် ▁သဘာဝ အခြေအနေ များ ▁ပြန်လည် ရောက်ရှိ ရေး ▁က ွန်ဂရက်လွှတ်တော် က ▁သတ်မှတ် ပေး ထားသည့် ▁ ပန်းတိုင် သို့ ▁ဦးတည် သည့် ▁၎င်းတို့၏ ပြည်နယ် အကောင်အထည်ဖော် ရေး စီမံ ချက် များတွင် ▁ကျိုးကြောင်း ဆီလျော် စွာ ▁တိုးတက်မှု ကို ▁ပြသ ရမည်ဖြစ်သည်။,ပြည်နယ် များသည် အမျိုးသား ဥယျာဉ် များနှင့် တော က န္တ ာ ရ ဒေသ များတွင် သဘာဝ အခြေအနေ များ ပြန်လည် ရောက်ရှိ ရေး က ွန်ဂရက်လွှတ်တော် က သတ်မှတ် ပေး ထားသည့် ပန်းတိုင် သို့ ဦးတည် သည့် ၎င်းတို့၏ ပြည်နယ် အကောင်အထည်ဖော် ရေး စီမံ ချက် များတွင် ကျိုးကြောင်း ဆီလျော် စွာ တိုးတက်မှု ကို ပြသ ရမည်ဖြစ်သည်။,ပြည်နယ် များသည် အမျိုးသား ဥယျာဉ် များနှင့် တော က န္တ ာ ရ ဒေသ များတွင် သဘာဝ အခြေအနေ များ ပြန်လည် ရောက်ရှိ ရေး က ွန်ဂရက်လွှတ်တော် က သတ်မှတ် ပေး ထားသည့် ပန်းတိုင် သို့ ဦးတည် သည့် ၎င်းတို့၏ ပြည်နယ် အကောင်အထည်ဖော် ရေး စီမံ ချက် များတွင် ကျိုးကြောင်း ဆီလျော် စွာ တိုးတက်မှု ကို ပြသ ရမည်ဖြစ်သည်။
False,▁အရမ်း စိတ်ဝင်စား ဖို့ ကောင်းတယ်။,အရမ်း စိတ်ဝင်စား ဖို့ ကောင်းတယ်။,အရမ်း စိတ်ဝင်စား ဖို့ ကောင်းတယ်။
False,▁သူသည် ▁ဘ န် ကာ ဆီသို့ ▁ ဖြ ည ်း ည ှ င်း စွာ ▁ပြန်လာ ခဲ့ တော့ သည်။,သူသည် ဘ န် ကာ ဆီသို့ ဖြ ည ်း ည ှ င်း စွာ ပြန်လာ ခဲ့ တော့ သည်။,သူသည် ဘ န် ကာ ဆီသို့ ဖြ ည ်း ည ှ င်း စွာ ပြန်လာ ခဲ့ တော့ သည်။
False,▁ခြောက် လို့ ▁တစ်ခုခု က ▁ပြည်နယ် လို့ ထင် ပြီး ▁ကျန် တဲ့ ▁ မုန့် တွေက ▁တခြား နေရာ ကို ▁ ရောက် သွား ပေမယ့် ▁ကျွန်တော်တို့ ▁ပြည်နယ် ရဲ့ ▁အစိတ်အပိုင်း တစ်ခု ထဲမှာ ▁ဖြစ် နေတာ ဆိုတော့ ▁အဲဒါက ▁အများကြီး ▁ပြန် ရ သလိုပဲ ၊ ▁ပြည်တွင်း အခွန် ဆောင် တာ လောက် တော့ ▁ ရှိတယ်။,ခြောက် လို့ တစ်ခုခု က ပြည်နယ် လို့ ထင်,ခြောက် လို့ တစ်ခုခု က ပြည်နယ် လို့ ထင်
